customer_id_legacy,transaction_id,purchase_amount,purchase_date,product_category,customer_rating,customer_id_new,social_media_platform,engagement_score,purchase_interest_score,review_sentiment,sentiment_numeric,engagement_sentiment_interaction,interest_value_ratio,sentiment_ordinal,platform_group,interest_density
151,1001,408,2024-01-01,Sports,2.3,A151,TikTok,61,1.3,Neutral,1.0,61.0,0.393939393939394,1,Social_Casual,0.020967741935483872
151,1001,408,2024-01-01,Sports,2.3,A151,Twitter,72,1.6,Neutral,1.0,72.0,0.4848484848484849,1,Professional_News,0.021917808219178082
151,1001,408,2024-01-01,Sports,2.3,A151,Twitter,82,3.6,Negative,0.5,41.0,1.090909090909091,0,Professional_News,0.043373493975903614
192,1002,332,2024-01-02,Electronics,4.2,A192,Instagram,60,4.3,Positive,1.5,90.0,0.8269230769230769,2,Social_Casual,0.07049180327868852
114,1003,442,2024-01-03,Electronics,2.1,A114,Facebook,87,4.8,Negative,0.5,43.5,1.5483870967741935,0,Social_Casual,0.05454545454545454
160,1005,64,2024-01-05,Clothing,1.3,A160,TikTok,56,2.6,Positive,1.5,84.0,1.1304347826086958,2,Social_Casual,0.0456140350877193
160,1005,64,2024-01-05,Clothing,1.3,A160,LinkedIn,73,2.0,Neutral,1.0,73.0,0.8695652173913044,1,Professional_News,0.02702702702702703
160,1005,64,2024-01-05,Clothing,1.3,A160,Instagram,89,2.9,Neutral,1.0,89.0,1.2608695652173914,1,Social_Casual,0.03222222222222222
120,1006,395,2024-01-06,Groceries,1.1,A120,Facebook,83,1.4,Positive,1.5,124.5,0.6666666666666666,2,Social_Casual,0.016666666666666666
120,1006,395,2024-01-06,Groceries,1.1,A120,Instagram,56,3.0,Positive,1.5,84.0,1.4285714285714286,2,Social_Casual,0.05263157894736842
120,1006,395,2024-01-06,Groceries,1.1,A120,Instagram,92,3.6,Positive,1.5,138.0,1.7142857142857142,2,Social_Casual,0.03870967741935484
182,1007,91,2024-01-07,Sports,4.9,A182,Twitter,57,1.2,Negative,0.5,28.5,0.20338983050847456,0,Professional_News,0.020689655172413793
186,1008,429,2024-01-08,Clothing,4.3,A186,TikTok,79,2.8,Positive,1.5,118.5,0.5283018867924528,2,Social_Casual,0.034999999999999996
174,1009,228,2024-01-09,Electronics,3.8,A174,Facebook,95,2.9,Neutral,1.0,95.0,0.6041666666666666,1,Social_Casual,0.030208333333333334
174,1009,228,2024-01-09,Electronics,3.8,A174,TikTok,64,3.8,Positive,1.5,96.0,0.7916666666666666,2,Social_Casual,0.05846153846153846
174,1010,112,2024-01-10,Sports,2.6,A174,Facebook,95,2.9,Neutral,1.0,95.0,0.8055555555555555,1,Social_Casual,0.030208333333333334
174,1010,112,2024-01-10,Sports,2.6,A174,TikTok,64,3.8,Positive,1.5,96.0,1.0555555555555556,2,Social_Casual,0.05846153846153846
187,1011,401,2024-01-11,Sports,1.7,A187,LinkedIn,97,4.4,Negative,0.5,48.5,1.6296296296296298,0,Professional_News,0.04489795918367347
187,1011,401,2024-01-11,Sports,1.7,A187,Instagram,71,2.5,Neutral,1.0,71.0,0.9259259259259258,1,Social_Casual,0.034722222222222224
187,1011,401,2024-01-11,Sports,1.7,A187,Twitter,89,1.3,Negative,0.5,44.5,0.48148148148148145,0,Professional_News,0.014444444444444446
199,1012,280,2024-01-12,Electronics,1.6,A199,LinkedIn,57,1.8,Positive,1.5,85.5,0.6923076923076923,2,Professional_News,0.03103448275862069
102,1014,101,2024-01-14,Electronics,3.2,A102,LinkedIn,51,4.8,Neutral,1.0,51.0,1.1428571428571428,1,Professional_News,0.0923076923076923
121,1015,145,2024-01-15,Sports,3.9,A121,LinkedIn,74,3.5,Positive,1.5,111.0,0.7142857142857142,2,Professional_News,0.04666666666666667
121,1015,145,2024-01-15,Sports,3.9,A121,TikTok,95,3.2,Neutral,1.0,95.0,0.6530612244897959,1,Social_Casual,0.03333333333333333
152,1016,437,2024-01-16,Books,3.6,A152,Facebook,95,4.1,Positive,1.5,142.5,0.8913043478260869,2,Social_Casual,0.04270833333333333
152,1016,437,2024-01-16,Books,3.6,A152,Instagram,81,4.2,Positive,1.5,121.5,0.9130434782608696,2,Social_Casual,0.051219512195121955
101,1017,271,2024-01-17,Books,2.1,A101,Twitter,68,1.0,Neutral,1.0,68.0,0.3225806451612903,1,Professional_News,0.014492753623188406
187,1018,456,2024-01-18,Groceries,4.8,A187,LinkedIn,97,4.4,Negative,0.5,48.5,0.7586206896551725,0,Professional_News,0.04489795918367347
187,1018,456,2024-01-18,Groceries,4.8,A187,Instagram,71,2.5,Neutral,1.0,71.0,0.4310344827586207,1,Social_Casual,0.034722222222222224
187,1018,456,2024-01-18,Groceries,4.8,A187,Twitter,89,1.3,Negative,0.5,44.5,0.22413793103448276,0,Professional_News,0.014444444444444446
129,1019,280,2024-01-19,Electronics,4.0,A129,Twitter,54,4.5,Neutral,1.0,54.0,0.9,1,Professional_News,0.08181818181818182
137,1020,286,2024-01-20,Electronics,3.2,A137,LinkedIn,93,3.5,Neutral,1.0,93.0,0.8333333333333333,1,Professional_News,0.03723404255319149
137,1020,286,2024-01-20,Electronics,3.2,A137,TikTok,99,3.1,Positive,1.5,148.5,0.7380952380952381,2,Social_Casual,0.031
101,1021,192,2024-01-21,Groceries,3.4,A101,Twitter,68,1.0,Neutral,1.0,68.0,0.22727272727272727,1,Professional_News,0.014492753623188406
163,1022,220,2024-01-22,Groceries,2.7,A163,TikTok,53,4.0,Neutral,1.0,53.0,1.081081081081081,1,Social_Casual,0.07407407407407407
163,1022,220,2024-01-22,Groceries,2.7,A163,TikTok,96,3.2,Neutral,1.0,96.0,0.8648648648648649,1,Social_Casual,0.032989690721649485
120,1024,85,2024-01-24,Sports,2.4,A120,Facebook,83,1.4,Positive,1.5,124.5,0.4117647058823529,2,Social_Casual,0.016666666666666666
120,1024,85,2024-01-24,Sports,2.4,A120,Instagram,56,3.0,Positive,1.5,84.0,0.8823529411764706,2,Social_Casual,0.05263157894736842
120,1024,85,2024-01-24,Sports,2.4,A120,Instagram,92,3.6,Positive,1.5,138.0,1.0588235294117647,2,Social_Casual,0.03870967741935484
132,1025,62,2024-01-25,Electronics,4.0,A132,LinkedIn,63,3.3,Positive,1.5,94.5,0.6599999999999999,2,Professional_News,0.0515625
121,1028,236,2024-01-28,Electronics,1.2,A121,LinkedIn,74,3.5,Positive,1.5,111.0,1.5909090909090908,2,Professional_News,0.04666666666666667
121,1028,236,2024-01-28,Electronics,1.2,A121,TikTok,95,3.2,Neutral,1.0,95.0,1.4545454545454546,1,Social_Casual,0.03333333333333333
188,1029,292,2024-01-29,Sports,1.2,A188,TikTok,50,3.6,Positive,1.5,75.0,1.6363636363636362,2,Social_Casual,0.07058823529411765
148,1030,135,2024-01-30,Sports,4.4,A148,Facebook,75,1.7,Neutral,1.0,75.0,0.31481481481481477,1,Social_Casual,0.02236842105263158
190,1031,333,2024-01-31,Groceries,3.8,A190,Twitter,82,4.8,Neutral,1.0,82.0,1.0,1,Professional_News,0.057831325301204814
158,1032,115,2024-02-01,Electronics,2.9,A158,LinkedIn,63,1.4,Negative,0.5,31.5,0.358974358974359,0,Professional_News,0.021875
158,1032,115,2024-02-01,Electronics,2.9,A158,Twitter,83,4.5,Neutral,1.0,83.0,1.153846153846154,1,Professional_News,0.05357142857142857
158,1032,115,2024-02-01,Electronics,2.9,A158,Instagram,81,2.8,Positive,1.5,121.5,0.717948717948718,2,Social_Casual,0.03414634146341463
141,1033,219,2024-02-02,Groceries,1.4,A141,TikTok,93,3.9,Negative,0.5,46.5,1.625,0,Social_Casual,0.04148936170212766
141,1033,219,2024-02-02,Groceries,1.4,A141,LinkedIn,96,2.8,Neutral,1.0,96.0,1.1666666666666667,1,Professional_News,0.028865979381443297
191,1034,94,2024-02-03,Electronics,3.0,A191,Facebook,92,2.1,Positive,1.5,138.0,0.525,2,Social_Casual,0.022580645161290325
179,1036,490,2024-02-05,Clothing,1.7,A179,Twitter,50,3.0,Negative,0.5,25.0,1.111111111111111,0,Professional_News,0.058823529411764705
114,1037,183,2024-02-06,Clothing,2.7,A114,Facebook,87,4.8,Negative,0.5,43.5,1.2972972972972971,0,Social_Casual,0.05454545454545454
146,1040,157,2024-02-09,Books,3.5,A146,Twitter,69,3.9,Negative,0.5,34.5,0.8666666666666667,0,Professional_News,0.055714285714285716
146,1040,157,2024-02-09,Books,3.5,A146,Facebook,81,2.9,Neutral,1.0,81.0,0.6444444444444444,1,Social_Casual,0.03536585365853658
150,1042,389,2024-02-11,Sports,3.0,A150,Facebook,96,1.6,Positive,1.5,144.0,0.4,2,Social_Casual,0.016494845360824743
150,1042,389,2024-02-11,Sports,3.0,A150,LinkedIn,86,3.6,Neutral,1.0,86.0,0.9,1,Professional_News,0.041379310344827586
150,1042,389,2024-02-11,Sports,3.0,A150,Facebook,67,3.0,Neutral,1.0,67.0,0.75,1,Social_Casual,0.04411764705882353
154,1043,335,2024-02-12,Electronics,3.0,A154,TikTok,72,2.9,Positive,1.5,108.0,0.725,2,Social_Casual,0.03972602739726027
163,1044,495,2024-02-13,Sports,3.0,A163,TikTok,53,4.0,Neutral,1.0,53.0,1.0,1,Social_Casual,0.07407407407407407
163,1044,495,2024-02-13,Sports,3.0,A163,TikTok,96,3.2,Neutral,1.0,96.0,0.8,1,Social_Casual,0.032989690721649485
102,1045,380,2024-02-14,Electronics,4.4,A102,LinkedIn,51,4.8,Neutral,1.0,51.0,0.8888888888888888,1,Professional_News,0.0923076923076923
150,1046,177,2024-02-15,Books,3.6,A150,Facebook,96,1.6,Positive,1.5,144.0,0.3478260869565218,2,Social_Casual,0.016494845360824743
150,1046,177,2024-02-15,Books,3.6,A150,LinkedIn,86,3.6,Neutral,1.0,86.0,0.782608695652174,1,Professional_News,0.041379310344827586
150,1046,177,2024-02-15,Books,3.6,A150,Facebook,67,3.0,Neutral,1.0,67.0,0.6521739130434783,1,Social_Casual,0.04411764705882353
106,1047,397,2024-02-16,Sports,1.7,A106,Facebook,99,4.2,Negative,0.5,49.5,1.5555555555555556,0,Social_Casual,0.042
120,1048,280,2024-02-17,Groceries,1.3,A120,Facebook,83,1.4,Positive,1.5,124.5,0.6086956521739131,2,Social_Casual,0.016666666666666666
120,1048,280,2024-02-17,Groceries,1.3,A120,Instagram,56,3.0,Positive,1.5,84.0,1.3043478260869565,2,Social_Casual,0.05263157894736842
120,1048,280,2024-02-17,Groceries,1.3,A120,Instagram,92,3.6,Positive,1.5,138.0,1.565217391304348,2,Social_Casual,0.03870967741935484
172,1049,239,2024-02-18,Electronics,3.6,A172,TikTok,56,2.7,Negative,0.5,28.0,0.5869565217391305,0,Social_Casual,0.04736842105263158
138,1050,274,2024-02-19,Electronics,1.1,A138,LinkedIn,88,3.5,Positive,1.5,132.0,1.6666666666666665,2,Professional_News,0.03932584269662921
117,1051,434,2024-02-20,Sports,3.3,A117,LinkedIn,98,3.8,Neutral,1.0,98.0,0.8837209302325582,1,Professional_News,0.03838383838383838
117,1051,434,2024-02-20,Sports,3.3,A117,LinkedIn,78,3.9,Neutral,1.0,78.0,0.9069767441860466,1,Professional_News,0.049367088607594936
103,1052,426,2024-02-21,Groceries,4.8,A103,Instagram,77,2.3,Positive,1.5,115.5,0.396551724137931,2,Social_Casual,0.029487179487179487
103,1052,426,2024-02-21,Groceries,4.8,A103,Facebook,58,3.6,Positive,1.5,87.0,0.6206896551724138,2,Social_Casual,0.061016949152542375
103,1052,426,2024-02-21,Groceries,4.8,A103,Instagram,58,2.7,Negative,0.5,29.0,0.4655172413793104,0,Social_Casual,0.04576271186440678
188,1053,332,2024-02-22,Groceries,3.3,A188,TikTok,50,3.6,Positive,1.5,75.0,0.8372093023255814,2,Social_Casual,0.07058823529411765
113,1055,170,2024-02-24,Groceries,3.6,A113,Facebook,98,2.7,Neutral,1.0,98.0,0.5869565217391305,1,Social_Casual,0.027272727272727275
113,1055,170,2024-02-24,Groceries,3.6,A113,Instagram,50,1.0,Positive,1.5,75.0,0.2173913043478261,2,Social_Casual,0.0196078431372549
189,1057,282,2024-02-26,Groceries,3.2,A189,LinkedIn,78,2.7,Negative,0.5,39.0,0.6428571428571429,0,Professional_News,0.03417721518987342
189,1057,282,2024-02-26,Groceries,3.2,A189,TikTok,99,4.1,Neutral,1.0,99.0,0.976190476190476,1,Social_Casual,0.040999999999999995
189,1057,282,2024-02-26,Groceries,3.2,A189,Facebook,94,3.8,Negative,0.5,47.0,0.9047619047619047,0,Social_Casual,0.04
189,1057,282,2024-02-26,Groceries,3.2,A189,Twitter,59,3.8,Neutral,1.0,59.0,0.9047619047619047,1,Professional_News,0.06333333333333332
